id,full_name,student_id,email,address,city,zipcode,phone,age,university,category
27,Judah Matthews,A837BF19-F239-F10C-A64A-EE4639BF0BFB,massa.Vestibulum@orciconsectetuer.edu,"P.O. Box 397, 468 Nec Road",Millport,98871,1-773-983-1920,23,"California State University, Fullerton",Network Security
28,Amir Macias,C4EB88AE-B7FA-CD7D-C9D3-957A0CA46A4F,ultricies@anteVivamus.com,2202 Sagittis Street,Rae Lakes,30745,589-8286,30,San Jose State University,Machine Learning
29,Oren Pickett,29ADB377-FE96-C213-AD12-C2687AF5670A,Nulla.tincidunt.neque@utcursusluctus.com,"Ap #717-4500 Congue, St.",Battagram,54997,116-6152,20,San Francisco State University,Network Security
30,Jonah Santiago,06F2CD75-609D-A12C-2AA5-F7C7BAE4D89F,luctus@magnatellusfaucibus.org,944-707 Feugiat Rd.,Haarlem,48020,1-995-243-4098,17,"California State University, Bakersfield",Entrepreneurship
31,Herrod Lyons,44F06A8D-3968-D210-A8DA-F8A87C81C8BB,non@Duis.ca,Ap #654-4970 Vulputate Road,Liberchies,40428,657-9170,22,"University of California, Riverside",Artificial Intelligence
32,Griffin Welch,F2C63C02-3A9D-BDC0-93D4-80B5654D3912,semper.egestas@nequeseddictum.ca,Ap #889-1049 Netus Rd.,Lo Prado,88922,483-4624,21,San Francisco State University,Web Development
33,Mohammad Tucker,E632FD0A-B918-826F-34F5-EB05B6311B5D,eu@felisNulla.net,389-495 Mauris. Street,Ligny,33454,852-3649,28,San Jose State University,Entrepreneurship
34,Marsden Parrish,75D1A4B3-5631-9331-B5A9-C2B27B2EB8E0,vitae.aliquet@Duisrisus.ca,"P.O. Box 197, 4652 Metus. Rd.",Merksplas,58874,208-2663,25,Stanford,Embedded Software
35,Lance Moon,406AE755-BD08-0C6C-6E61-AD6A36F183FB,nec@Vestibulum.co.uk,"P.O. Box 384, 8263 Amet Rd.",Nairn,88354,1-314-816-3421,25,San Francisco State University,Web Development
36,Gil Larson,B16BF886-27D0-B729-9C4E-B789A6F4FB4B,Suspendisse.dui.Fusce@felis.com,2997 Sed Street,Kacchi,72552,1-363-432-2341,30,Stanford,Web Development
37,Lamar Kaufman,E10395A1-5281-DF84-AFAC-52DF4B8517D0,tempus.non@taciti.com,Ap #670-1937 Nunc Rd.,Drezna,99466,1-923-769-8159,27,"University of California, Santa Cruz",Network Security
38,Hunter Diaz,4CF9D29B-FA48-BF75-6F9F-FCDE43DD7D8C,dolor@Suspendisse.net,"P.O. Box 774, 4258 Metus Street",Caen,67030,1-637-343-7496,18,"University of California, Santa Cruz",Artificial Intelligence
39,Alvin Gallagher,1F3A79BC-75A7-E38E-24F1-D7B186260CAF,vitae.sodales@interdumNunc.edu,"P.O. Box 673, 9777 Et Street",Gorzów Wielkopolski,21796,1-191-144-3811,28,"University of California, Davis",Network Security
40,Porter Fowler,F125BA70-BCF2-7287-F5A3-70DD7C7C58E3,vel.convallis@nulla.co.uk,"P.O. Box 954, 8951 Elementum St.",Châlons-en-Champagne,82613,1-927-469-0084,29,San Jose State University,Machine Learning
41,Tyrone Elliott,4AAD0E34-34AE-A9E7-144C-7229E3DC22DA,ullamcorper@odioa.net,"P.O. Box 846, 2350 Nascetur Rd.",Stockton-on-Tees,19501,1-723-622-9609,18,"California State University, Fullerton",Artificial Intelligence
42,Hoyt Graves,C20EA842-A7D1-706E-8304-D01ADBDB3323,Sed@necligula.ca,"Ap #881-1764 Enim, Avenue",IJlst,52684,199-5729,29,"California State University, Bakersfield",Entrepreneurship
43,Cruz Hobbs,02CD8999-C1B4-A5AD-782B-E12B1DCD2601,aptent.taciti.sociosqu@semPellentesqueut.co.uk,"P.O. Box 553, 5319 Sed Av.",Gore,64519,1-724-330-7007,29,Stanford,Embedded Software
44,Slade Roth,1CAB22A3-ABD8-C1CC-AB7B-C3520A559731,lectus.pede@Ut.ca,744-9317 Erat Avenue,Saint-Oyen,90240,555-2732,23,Stanford,Machine Learning
45,Harrison Lynch,0023FFB2-CB5B-7971-D3EF-236DAB563CFD,sed.pede@volutpatnuncsit.com,"Ap #787-3268 Vulputate, Avenue",Dover,99337,545-2370,25,"University of California, Riverside",Artificial Intelligence
46,Benjamin Frederick,29D510A5-F701-5059-FF4A-793F160CCCE4,enim.Sed@Curabiturconsequatlectus.co.uk,3979 Est St.,Bearberry,26443,178-4600,25,Stanford,Web Development
47,Tarik Neal,E622D027-1285-89A8-F7C2-46E12A0EACE1,vel@velit.com,1341 Vitae Avenue,Kelkheim,71564,241-2513,21,"California State University, Fullerton",Network Security
48,Peter Gutierrez,F653D37E-4B22-109A-7E14-570A044DAA73,Nunc@Nullam.ca,"Ap #904-4969 Est, Avenue",C�te-Saint-Luc,68836,1-424-424-4096,22,Stanford,Machine Learning
49,Odysseus Boyd,F086D5FC-012F-2891-1393-F80F2FD77AFA,posuere.at@volutpat.com,5314 Quis Av.,Posina,27676,301-5857,27,"California State University, Fullerton",Artificial Intelligence
50,Tyrone Gonzalez,7DBD3218-29EF-3DA7-3E0C-BEEF4090A57B,Nullam.vitae.diam@metus.com,6590 Nunc Rd.,Lennik,69978,1-117-192-5318,22,"California State University, Fullerton",Entrepreneurship
51,Fritz Wood,A36CA999-802D-7A5D-9426-3F8A2C7BABA4,taciti.sociosqu.ad@disparturient.edu,Ap #484-5125 Pellentesque Rd.,La Plata,68581,1-838-739-9592,18,"University of California, Riverside",Machine Learning
52,Wang Coffey,8A727189-1EED-550E-B560-0F48BA1E9D46,a@hendrerita.com,547-9178 Ultrices Rd.,Tiarno di Sopra,46406,1-966-649-9296,29,"California State University, Fullerton",Entrepreneurship
53,Seth Travis,389DFCCB-21B1-FD73-B4FF-D147ECA967CD,Vestibulum.ut.eros@ornare.ca,"P.O. Box 315, 7867 Velit. St.",Cheongju,99058,1-734-888-7381,29,San Jose State University,Web Development
54,Joseph Russo,57345C46-E47A-B68D-4E9F-77C5E17E0FF9,rutrum.eu@adipiscinglacus.edu,946-792 Donec Street,Maullín,99168,166-9755,24,Stanford,Embedded Software
55,Berk Walter,F5C52552-A225-7899-5468-91284798C699,fringilla.cursus@afacilisisnon.net,104-359 Aliquet Road,Kaduna,42498,1-667-275-3393,20,Stanford,Artificial Intelligence
56,Nash Owens,9A22C6DD-1F9C-C510-2D1D-72F43FFB0BA9,facilisis.eget.ipsum@bibendum.org,"2336 Ut, Rd.",San Bernardo,16535,1-326-882-8685,30,Stanford,Machine Learning
57,Ian Mendoza,6DBD2529-2C8F-46E5-4F9B-C940FB4E424B,ante.blandit.viverra@orcisemeget.com,1022 Velit. Ave,Charsadda,58617,631-6322,24,"University of California, Riverside",Web Development
58,Samuel Hamilton,BE3D9B0F-6E64-0EE1-9A8A-BC189A0D94E1,cursus@ametorciUt.co.uk,Ap #832-8672 Est. Rd.,Hwaseong,45409,633-7507,29,San Francisco State University,Artificial Intelligence
59,Wesley Lancaster,B9F00A48-3A05-CAAC-5D80-F82FD2DC9857,nunc.est@sitametrisus.co.uk,"P.O. Box 357, 7312 Lacus, St.",Linköping,89458,1-708-398-4879,22,San Francisco State University,Embedded Software
60,Wing Atkinson,89764255-E623-E294-30EF-0D99A834E782,erat.volutpat.Nulla@Donecfelisorci.org,"P.O. Box 485, 4482 Et, Av.",Corroy-le-Grand,60130,1-117-598-9957,26,"University of California, Santa Cruz",Entrepreneurship
61,Tyrone Gross,0AC0FA13-F8DA-5FCB-D366-CA81D3B9FB2C,in.felis@magnaseddui.co.uk,8456 Mauris Street,Hertford,46999,1-209-768-6176,19,Stanford,Web Development
62,Yuli Decker,E79D9EE4-B873-B28F-58D3-5C56D0B5B390,Nullam@acfermentum.ca,3291 Vivamus Rd.,Béthune,15556,425-5907,23,San Francisco State University,Artificial Intelligence
63,Berk Nunez,CDE40666-B15D-9864-3824-08AA31E29976,egestas@dolor.co.uk,863-2840 Lacinia. Avenue,Salzwedel,63479,263-1282,22,"University of California, Davis",Entrepreneurship
64,Baxter Irwin,16E2AD84-4C7E-EA38-C9AF-4668EA1BFC05,ac.mattis@Vestibulumaccumsanneque.co.uk,"P.O. Box 837, 1096 Eget Ave",Castelbianco,69563,1-150-268-4643,17,"California State University, Bakersfield",Entrepreneurship
65,Trevor Randolph,B515DE11-FB9D-FBCB-350D-0B268A0CF1DC,Sed.nec@Donec.org,Ap #264-9166 Odio. Ave,Oyo,52529,1-633-425-5718,25,Stanford,Network Security
66,Axel Washington,E70AD8F6-97A4-A9DE-DB10-6791226381E7,elit.pretium.et@Nullatincidunt.com,"9250 Purus, St.",Cromer,68799,1-431-459-0044,29,San Jose State University,Network Security
67,Alec Gonzalez,C90790C3-37F5-AC99-33B2-788BB0D0CAC4,vel.arcu.eu@sapienAenean.org,Ap #628-3955 Leo. St.,Astrakhan,13144,1-486-202-5161,22,"University of California, Davis",Embedded Software
68,Basil Lindsay,79E69DED-99C4-D28C-1F24-A309E48573E5,non.dapibus.rutrum@aodiosemper.net,772-6010 Aliquet St.,Huissen,38906,1-737-716-6080,26,"University of California, Davis",Artificial Intelligence
69,Walter Hubbard,5CB61069-A1C7-DC0B-F0D1-A415FEC56CD7,neque@Aliquamornare.com,"5253 In, Rd.",Lasnigo,28253,1-280-546-8317,30,"California State University, Bakersfield",Machine Learning
70,Ethan Stephenson,95B3DCF1-FA72-5BEE-FD3E-BC8462AEBD45,cursus.Nunc.mauris@est.org,"4507 Purus, Rd.",Silifke,27203,1-612-112-6905,29,"University of California, Riverside",Embedded Software
71,Leo Mejia,91B85E8B-37E6-9C00-1BA6-5596CBEC91F5,aliquet.molestie.tellus@ametultriciessem.com,Ap #759-8470 Eget Avenue,Girardot,74804,1-961-660-7435,23,San Francisco State University,Machine Learning
72,Blake Morales,DDAF16B0-D7AD-E9AE-8E75-4493DF445896,orci.consectetuer.euismod@estvitae.edu,"P.O. Box 777, 7868 In, Street",Juan Fernández,33106,1-243-420-6689,29,San Jose State University,Machine Learning
73,Hayes Gill,A69AC007-E4F7-A402-AFD0-FF74BA14D36F,ut.molestie@ridiculusmus.com,863-4848 Eleifend Ave,Tuscaloosa,72896,878-3904,20,San Francisco State University,Network Security
74,Rooney Flowers,55588DB1-3015-58AD-B585-69DBABD6BA35,nec@dolor.edu,"P.O. Box 245, 488 Dolor, Avenue",Smetlede,46887,515-1812,27,"University of California, Santa Cruz",Embedded Software
75,Acton Eaton,67A08422-8026-3A1A-C15D-879C783DDD87,diam.dictum.sapien@orciadipiscing.org,"184-5362 Pede, Ave",Bonavista,26727,1-826-885-0051,17,"University of California, Davis",Embedded Software
76,Bernard Griffith,57E78096-94E3-7F56-689F-85B477C409D2,orci.quis@risusvarius.ca,"P.O. Box 502, 935 Justo Road",Tulsa,59422,831-6336,28,San Jose State University,Machine Learning
77,Camden Schultz,581DFD0D-0418-65AA-F593-B4907E16A1D0,mollis.Phasellus@aliquamenimnec.org,"P.O. Box 627, 8100 Lacus. Avenue",Tramutola,27274,1-895-967-1844,29,"California State University, Fullerton",Entrepreneurship
78,Driscoll Martinez,A0128232-1671-3BAE-AF06-74AAE7A39035,dictum.eu.eleifend@netusetmalesuada.ca,"P.O. Box 694, 8978 Enim. Rd.",Osan,47357,806-8782,17,Stanford,Embedded Software
79,Gregory Miles,D859BF49-4359-7032-6710-9A1366376041,sem.ut.cursus@vel.org,759-6091 Phasellus Av.,Rockford,83997,130-7113,19,"University of California, Davis",Machine Learning
80,Forrest Joyner,04C16F9C-5AC5-4DFA-A95E-1D3C572C14C1,ut@euelitNulla.co.uk,334-1868 Eros Avenue,Duluth,33498,269-6155,19,"University of California, Davis",Web Development
81,Len Cantrell,3BC45611-787E-E344-F5A0-C5506F6973AB,eleifend.nunc@Phasellusdolorelit.org,980-9484 Metus. Road,Nashville,52722,1-316-729-0629,27,"University of California, Santa Cruz",Web Development
82,Nissim Horne,BD762557-1CC7-ACBD-C25F-90A306D19B96,facilisis.non@lobortisauguescelerisque.ca,Ap #112-2174 Nunc Ave,Canora,42962,997-4687,27,"California State University, Fullerton",Web Development
83,Orson Decker,C3120B55-DDE7-C2CA-17A8-DDAD073F44DA,malesuada.Integer.id@vitaedolorDonec.edu,6038 Ipsum. Rd.,Wolfurt,13035,391-3619,23,"University of California, Davis",Artificial Intelligence
84,Hamilton Fischer,160A9EC8-D848-98A5-4546-711435ED7076,Aliquam.erat@semconsequat.edu,"P.O. Box 958, 6615 Eleifend Avenue",Riparbella,49828,792-8520,25,"University of California, Santa Cruz",Artificial Intelligence
85,Cameron Phillips,3E0B357E-2A63-5399-AF74-11ED80AA2CB7,commodo.auctor@ipsum.edu,632-4546 Vulputate Av.,Sivry,10445,1-447-382-7295,27,San Jose State University,Web Development
86,Marvin Harrison,F8575ECA-2D51-EFA2-5807-3AA7881E3A1E,sit@gravidanuncsed.co.uk,458-3718 Quis Ave,Chepén,61166,158-8569,17,"University of California, Santa Cruz",Entrepreneurship
87,Harlan Ramos,080E8701-2013-C2DD-66EF-1C0C142411EC,Ut.semper.pretium@malesuadaaugueut.org,"P.O. Box 407, 173 Lacus. Av.",Newquay,12289,1-662-839-5370,20,San Francisco State University,Embedded Software
88,Kaseem Washington,B01132A0-FC3E-142F-36CC-1328C781D4A5,imperdiet.non.vestibulum@elitpellentesque.org,"P.O. Box 793, 7050 Hendrerit St.",Cumberland County,55145,1-299-804-7247,24,Stanford,Network Security
89,Anthony Potts,44B7BFDC-640D-D8BD-5D44-11464AEF93F1,enim.mi@Pellentesque.org,"P.O. Box 148, 2543 Molestie Ave",Toernich,42465,1-151-683-3741,18,Stanford,Entrepreneurship
90,Kane Dominguez,1C594E99-F62D-A260-219C-65BCA5CA2A17,Morbi.non.sapien@arcuimperdiet.ca,Ap #703-9808 Donec Rd.,Sabanalarga,86406,1-442-448-1846,17,"University of California, Davis",Network Security
91,Conan Garcia,A02ED801-A853-9CB1-86E3-EE51D07A893F,montes.nascetur@tristiquealiquet.com,Ap #823-6898 Diam. St.,Hoeke,20105,1-804-661-2785,18,"University of California, Santa Cruz",Machine Learning
92,Warren Trujillo,BB2F5495-ABC4-2740-DED6-CC4280DAF9F2,tempor.erat.neque@eget.org,138-5928 Facilisis Rd.,Jacksonville,66235,945-7253,18,San Francisco State University,Artificial Intelligence
93,Tarik Cote,86A0FF99-BDBF-8879-A8AD-C37030A591E7,eros.Proin.ultrices@faucibus.ca,Ap #250-8546 Dictum Street,Saint-Prime,86388,1-187-213-1049,26,Stanford,Network Security
94,Jason Carlson,DC534F77-39CC-F9AC-C9ED-60E51D300550,diam.Duis.mi@sitamet.com,"P.O. Box 190, 5539 Praesent Rd.",Mirpur,25556,1-496-741-0516,22,"California State University, Fullerton",Artificial Intelligence
95,Octavius Hutchinson,ED924291-0D27-A7D4-60F9-0D9E79A8569F,Pellentesque@Vestibulumanteipsum.com,"P.O. Box 495, 5686 Erat Av.",Shebekino,28941,1-236-598-6665,19,San Francisco State University,Web Development
96,Knox Olsen,63D9081F-F0CC-8394-4ABB-E1D94EBE9BC0,Sed.congue@Suspendissesed.com,118-9722 Duis Av.,Gimpo,97036,586-3257,24,Stanford,Network Security
97,Leonard Kinney,94CA6EC5-5132-57EE-8153-F8C27C6CBB78,faucibus@sagittisNullam.ca,Ap #509-3620 Vitae Street,Gaziantep,72151,870-8760,24,San Francisco State University,Embedded Software
98,Fritz Randolph,36004703-696C-2D51-DCF7-2E8B64C5B0E0,Integer.eu.lacus@cubiliaCuraeDonec.org,"374-6441 Montes, Rd.",Zignago,23642,1-151-735-4501,22,"California State University, Bakersfield",Machine Learning
99,Dane Olsen,C9C5BBE3-F055-0245-F4DE-663926C948F3,natoque@neque.ca,191-9926 Posuere Ave,Dindigul,93088,1-792-126-1879,22,"University of California, Davis",Entrepreneurship
100,Duncan Hunter,4C7907D2-40D2-9732-470A-31401A9BE09E,ridiculus@massaVestibulumaccumsan.net,1260 Sapien. St.,Talara,62181,1-413-475-9582,29,"California State University, Fullerton",Entrepreneurship
101,Cullen Sparks,9ABC7396-FEFB-53B4-5007-4AF71FE62877,nulla.magna.malesuada@iaculislacuspede.edu,Ap #131-3689 Turpis. St.,Sant'Omero,30126,1-733-192-4118,19,"University of California, Santa Cruz",Entrepreneurship
102,Ahmed Garza,9EA20B34-2514-5BC2-1574-2141E08967FC,arcu.Vestibulum.ante@eleifendegestas.org,8662 Tempus St.,Dieppe,99452,1-810-202-9141,23,"California State University, Bakersfield",Embedded Software
103,Zane Beasley,27DCD680-82BF-12B9-79AC-11F9F325332E,Lorem.ipsum@tempusrisusDonec.ca,8921 Dictum Street,Dorval,71379,1-873-962-4474,20,San Jose State University,Entrepreneurship
104,Fuller Mcdaniel,8BE90547-7766-20A4-67A9-D4270E388A84,augue.malesuada@auctorvelit.co.uk,136-2487 A Rd.,Gwangju,50897,1-473-977-3209,30,"University of California, Davis",Web Development
105,Micah Randolph,6102DA38-722A-5478-F7C8-DEF076F16B7C,lorem.fringilla.ornare@egetodio.com,410-9986 Sit Avenue,Alkmaar,86877,1-196-334-1493,18,"University of California, Davis",Network Security
106,Barrett Bentley,6C82C0E1-45EA-113F-69A0-4C831AEDA4EC,lorem.lorem.luctus@Pellentesquetincidunttempus.net,"P.O. Box 817, 5229 Eu St.",Roubaix,49469,583-7443,21,"California State University, Bakersfield",Embedded Software
107,Solomon Mullen,11C643DE-824E-1B72-72E5-CB3DECF8D703,non.dui.nec@fermentumfermentum.edu,770-1987 Id St.,Unnao,80907,627-4790,21,"University of California, Riverside",Embedded Software
108,Nasim Tyson,9980E3EB-DA25-0E5A-2978-3D7846884A4D,tristique.senectus.et@aliquet.edu,6897 Vivamus St.,Cerrillos,90773,961-1470,19,Stanford,Web Development
109,Clayton Merrill,DB372B2F-3F94-F1F4-B4CE-441634F9CF1E,lectus@pretiumnequeMorbi.net,Ap #831-6920 Luctus Rd.,Colorado Springs,14747,1-970-343-0292,28,"California State University, Bakersfield",Web Development
110,Hasad Dotson,5136072B-1B24-C52E-30D6-DD8C75EB0880,ac.urna.Ut@enim.org,Ap #264-4226 Risus. Ave,Puerto Octay,80981,1-458-781-4785,26,"University of California, Davis",Entrepreneurship
111,Barrett Malone,B0CE3E96-C8AB-4582-4B9D-2523A807B04C,vel.arcu.eu@Incondimentum.edu,"P.O. Box 341, 4413 Placerat, Rd.",Thunder Bay,57025,893-8002,19,"California State University, Bakersfield",Web Development
112,Richard Serrano,ABB6338E-A445-A03B-C7A5-BF13401B1D4E,metus.eu@elitelitfermentum.org,580-3630 Justo Ave,Chimay,18563,1-302-149-4492,20,"California State University, Fullerton",Web Development
113,Rogan James,A1C88412-7473-5D94-3B0A-B01B84C7C4B8,eu@facilisis.net,"P.O. Box 859, 9695 Massa. Avenue",Galzignano Terme,10226,1-355-978-0893,26,San Jose State University,Web Development
114,Dean Brady,1E5571B9-A019-5379-E1B4-C96D94F41906,lobortis.quis@nisl.ca,Ap #762-4465 In St.,Medea,75617,1-397-467-8794,26,Stanford,Machine Learning
115,Marshall Woodward,9270249B-E618-E935-A389-3BE1550D5562,nisi.a.odio@sempereratin.ca,"P.O. Box 866, 5119 Diam Rd.",Cariboo Regional District,67645,1-709-749-5911,28,"California State University, Fullerton",Embedded Software
116,Tate Craig,AB4E1E74-6EE8-BEE3-B263-9954D1C388BF,lorem.sit@ipsum.co.uk,5313 Venenatis Rd.,Raichur,76215,1-685-565-8765,17,"University of California, Davis",Web Development
117,Steel Kelley,7859E8D3-5695-F7CE-CDB2-1672BDC843D1,convallis.erat.eget@lacinia.com,"P.O. Box 939, 4635 Non, Rd.",Hanret,48591,1-987-608-1807,29,"University of California, Riverside",Network Security
118,Matthew Riggs,36AEB229-92BF-7E76-C1F9-D13768A3AF51,tempor@laoreet.co.uk,790 Ultricies St.,Basirhat,98957,360-8779,26,"University of California, Riverside",Entrepreneurship
119,Rooney Burke,FE421FCF-F3A7-06FC-88CB-A9FA80044412,augue.malesuada@ac.edu,"P.O. Box 275, 9916 Maecenas Road",Avise,16127,702-6073,23,San Francisco State University,Network Security
120,Trevor Poole,2A87AF82-614B-36F3-CB71-DF6CEE43FA68,Integer@lectussitamet.org,8313 Dolor. Ave,Jiutepec,78070,1-717-123-6221,17,"University of California, Santa Cruz",Network Security
121,Clarke Whitney,1BCBBADB-DA48-9181-F3A6-4CE985B31BE6,congue@vitaevelitegestas.edu,Ap #461-9599 Sem St.,San Vicente,86197,1-287-204-0700,21,"California State University, Bakersfield",Machine Learning
122,Berk Kline,74B78CBB-3A4F-E3BD-B928-EC8E4B822676,vulputate.eu.odio@faucibusMorbivehicula.edu,2267 Accumsan Ave,Wimbledon,61370,1-483-188-4938,29,San Jose State University,Machine Learning
123,Cole Pitts,7819C04F-05EF-03B2-6E78-97F8D3820D0B,a.scelerisque@Aliquamnecenim.org,Ap #437-9568 Metus. Ave,Saint John,62997,1-915-554-1997,29,"University of California, Santa Cruz",Artificial Intelligence
124,Oscar Mills,2F6E0EDF-3D86-E1C6-8E41-EB5347EAB132,eu.neque.pellentesque@auctorullamcorpernisl.net,Ap #829-5437 Nulla Avenue,Castelluccio Superiore,68183,361-1698,29,"University of California, Davis",Web Development
125,Damian Vasquez,FD61D466-5390-1519-8CC7-4D5829E612E1,mollis.nec@mattis.com,"P.O. Box 888, 9409 Odio St.",Dera Bugti,70653,752-9494,18,San Francisco State University,Machine Learning
126,Elton Howell,E56F9DD8-4983-917D-E527-6D059DF4882B,turpis@eliteratvitae.com,9228 Fusce Avenue,Wuppertal,93877,1-124-101-4954,23,San Jose State University,Web Development
127,Hamilton Singleton,6BD0E140-90B9-87D6-C8AA-0A0CADC2DC38,nonummy@blanditenim.net,"P.O. Box 850, 6600 Ut Av.",Arzano,62089,1-534-552-3782,29,Stanford,Artificial Intelligence
128,Castor Cohen,099C4179-D48A-D1C6-9C4A-2634D2ACC1EF,Integer@lacusQuisque.net,4521 Id Rd.,Serskamp,13517,527-1390,20,"University of California, Riverside",Entrepreneurship
129,Laith Campos,B43D9EEC-065A-88BA-5688-247C193E0AF9,urna@semutdolor.ca,"P.O. Box 222, 6314 Cum Rd.",Charters Towers,27246,969-5886,18,"University of California, Riverside",Machine Learning
